LoanDuration,LoanPurpose,LoanAmount,InstallmentPercent,AcceptedPercent,Accepted,AmountGranted,transaction_id,timestamp
4,car_new,250,2,0.9800331274776278,1,250,0-0-0,2019-08-29T00:47:18.927875Z
33,appliances,4177,4,0.4911971758888131,0,0,0-0-1,2019-08-29T00:47:18.927915Z
27,business,6794,3,0.47378699706907845,0,0,0-0-2,2019-08-29T00:47:18.927937Z
17,car_new,4252,2,0.8114243344334747,1,4252,0-0-3,2019-08-29T00:47:18.927956Z
4,car_used,250,2,0.9842413066763195,1,250,0-0-4,2019-08-29T00:47:18.927975Z
16,car_used,1485,3,0.7289429270224842,1,1485,0-0-5,2019-08-29T00:47:18.927992Z
23,retraining,3387,3,0.8428014907473601,1,3387,0-0-6,2019-08-29T00:47:18.928010Z
14,car_new,3692,1,0.9670214880087444,1,3692,0-0-7,2019-08-29T00:47:18.928028Z
35,education,5289,5,0.44988702657224316,0,0,0-0-8,2019-08-29T00:47:18.928046Z
49,other,7409,5,0.19188026740739011,0,0,0-0-9,2019-08-29T00:47:18.928062Z
4,car_used,1694,3,0.8969090131830019,1,1694,0-0-10,2019-08-29T00:47:18.928079Z
16,car_new,3203,3,0.8229523031942051,1,3203,0-0-11,2019-08-29T00:47:18.928096Z
37,appliances,5126,4,0.5093516285092843,1,5126,0-0-12,2019-08-29T00:47:18.928113Z
13,vacation,250,2,0.7876209371582903,1,250,0-0-13,2019-08-29T00:47:18.928130Z
14,business,1740,3,0.8563219309936002,1,1740,0-0-14,2019-08-29T00:47:18.928148Z
11,vacation,5537,4,0.7325361708118768,1,5537,0-0-15,2019-08-29T00:47:18.928163Z
16,car_used,2122,2,0.7865398251824522,1,2122,0-0-16,2019-08-29T00:47:18.928180Z
5,education,250,1,0.9168331665918957,1,250,0-0-17,2019-08-29T00:47:18.928197Z
29,vacation,3282,4,0.2476535665779394,0,0,0-0-18,2019-08-29T00:47:18.928213Z
4,repairs,250,1,0.9810155002247065,1,250,0-0-19,2019-08-29T00:47:18.928230Z
4,car_new,250,1,0.9410024076645616,1,250,0-0-20,2019-08-29T00:47:18.928246Z
32,radio_tv,6315,4,0.1398784870932977,0,0,0-0-21,2019-08-29T00:47:18.928262Z
24,appliances,4165,4,0.7755059344833881,1,4165,0-0-22,2019-08-29T00:47:18.928277Z
8,car_new,2873,3,0.6449576312088884,1,2873,0-0-23,2019-08-29T00:47:18.928292Z
12,car_used,2487,3,0.6984328276006116,1,2487,0-0-24,2019-08-29T00:47:18.928310Z
35,other,6529,4,0.6513310387707121,1,6529,0-0-25,2019-08-29T00:47:18.928326Z
14,car_new,754,2,0.9502104293722973,1,754,0-0-26,2019-08-29T00:47:18.928343Z
7,car_new,250,2,0.9520911665490337,1,250,0-0-27,2019-08-29T00:47:18.928359Z
40,repairs,10920,6,0.11664009099497541,0,0,0-0-28,2019-08-29T00:47:18.928376Z
16,furniture,250,3,0.8954469763477494,1,250,0-0-29,2019-08-29T00:47:18.928391Z
12,furniture,1602,3,0.8944408568687683,1,1602,0-0-30,2019-08-29T00:47:18.928406Z
25,car_used,3723,4,0.6773589881775101,1,3723,0-0-31,2019-08-29T00:47:18.928422Z
8,radio_tv,2359,2,0.8715934998933917,1,2359,0-0-32,2019-08-29T00:47:18.928440Z
18,car_used,1620,3,0.7078806873800798,1,1620,0-0-33,2019-08-29T00:47:18.928456Z
32,radio_tv,5105,4,0.5925433640938413,1,5105,0-0-34,2019-08-29T00:47:18.928473Z
29,radio_tv,4102,3,0.7113841844922525,1,4102,0-0-35,2019-08-29T00:47:18.928488Z
13,furniture,4511,1,0.8269770981020537,1,4511,0-0-36,2019-08-29T00:47:18.928505Z
14,business,4921,3,0.8437668826845287,1,4921,0-0-37,2019-08-29T00:47:18.928522Z
25,radio_tv,6744,5,0.37579591019856007,0,0,0-0-38,2019-08-29T00:47:18.928538Z
8,car_used,250,1,0.9842413066763195,1,250,0-0-39,2019-08-29T00:47:18.928556Z
45,education,6489,5,0.1552104445090241,0,0,0-0-40,2019-08-29T00:47:18.928572Z
4,furniture,4035,3,0.8274630383682906,1,4035,0-0-41,2019-08-29T00:47:18.928588Z
