LoanDuration,LoanPurpose,LoanAmount,InstallmentPercent,AcceptedPercent,Accepted,AmountGranted,transaction_id,timestamp
16,radio_tv,2208,4,0.6019373123194458,1,2208,6-0-0,2019-09-04T00:47:20.371641Z
23,furniture,2713,4,0.6353086432726064,1,2713,6-0-1,2019-09-04T00:47:20.371678Z
31,furniture,5702,3,0.3780981283518162,0,0,6-0-2,2019-09-04T00:47:20.371700Z
24,radio_tv,2484,3,0.7695361156050444,1,2484,6-0-3,2019-09-04T00:47:20.371719Z
17,radio_tv,1492,3,0.6307599006963823,1,1492,6-0-4,2019-09-04T00:47:20.371738Z
9,radio_tv,2084,1,0.942959837573244,1,2084,6-0-5,2019-09-04T00:47:20.371756Z
13,car_new,250,2,0.9482887734567745,1,250,6-0-6,2019-09-04T00:47:20.371773Z
17,radio_tv,6172,3,0.6755426244985936,1,6172,6-0-7,2019-09-04T00:47:20.371790Z
25,car_used,5992,4,0.50277170494961,1,5992,6-0-8,2019-09-04T00:47:20.371809Z
41,appliances,2901,4,0.5232563096108108,1,2901,6-0-9,2019-09-04T00:47:20.371828Z
4,car_new,250,1,0.9753229544905558,1,250,6-0-10,2019-09-04T00:47:20.371845Z
4,radio_tv,250,2,0.9414363810079781,1,250,6-0-11,2019-09-04T00:47:20.371862Z
8,furniture,811,3,0.7498310557325591,1,811,6-0-12,2019-09-04T00:47:20.371881Z
33,vacation,5012,3,0.5696425537356478,1,5012,6-0-13,2019-09-04T00:47:20.371899Z
35,radio_tv,7533,5,0.1350556714643677,0,0,6-0-14,2019-09-04T00:47:20.371915Z
27,furniture,7077,5,0.16881839982019206,0,0,6-0-15,2019-09-04T00:47:20.371931Z
20,education,5697,4,0.41462872725276123,0,0,6-0-16,2019-09-04T00:47:20.371948Z
25,education,6892,3,0.622401267890936,1,6892,6-0-17,2019-09-04T00:47:20.371966Z
13,car_used,1820,2,0.8940470436834383,1,1820,6-0-18,2019-09-04T00:47:20.371985Z
14,appliances,250,3,0.9290488129582576,1,250,6-0-19,2019-09-04T00:47:20.372004Z
31,appliances,8001,4,0.07029391105036108,0,0,6-0-20,2019-09-04T00:47:20.372022Z
15,furniture,4088,4,0.33052818694290004,0,0,6-0-21,2019-09-04T00:47:20.372042Z
28,appliances,5836,3,0.6278351269713137,1,5836,6-0-22,2019-09-04T00:47:20.372061Z
35,car_used,5208,3,0.6618477478472145,1,5208,6-0-23,2019-09-04T00:47:20.372080Z
30,business,7542,5,0.3271400666989257,0,0,6-0-24,2019-09-04T00:47:20.372099Z
24,education,2770,3,0.42001229885151903,0,0,6-0-25,2019-09-04T00:47:20.372118Z
35,appliances,3962,4,0.44374557693635397,0,0,6-0-26,2019-09-04T00:47:20.372137Z
27,appliances,4126,4,0.661734824464655,1,4126,6-0-27,2019-09-04T00:47:20.372156Z
13,car_new,250,1,0.9832589339292408,1,250,6-0-28,2019-09-04T00:47:20.372173Z
40,radio_tv,7251,5,0.06794882558027562,0,0,6-0-29,2019-09-04T00:47:20.372191Z
12,car_new,1927,3,0.8803602630971958,1,1927,6-0-30,2019-09-04T00:47:20.372209Z
26,repairs,6010,4,0.5432850274178016,1,6010,6-0-31,2019-09-04T00:47:20.372226Z
13,furniture,5082,4,0.5296351218503806,1,5082,6-0-32,2019-09-04T00:47:20.372243Z
13,radio_tv,7020,3,0.7572682786436195,1,7020,6-0-33,2019-09-04T00:47:20.372261Z
17,radio_tv,2207,2,0.7398637657623295,1,2207,6-0-34,2019-09-04T00:47:20.372278Z
4,car_new,250,2,0.9628845249836306,1,250,6-0-35,2019-09-04T00:47:20.372295Z
31,retraining,5316,4,0.45427291873693887,0,0,6-0-36,2019-09-04T00:47:20.372313Z
29,radio_tv,4193,4,0.6654291096242213,1,4193,6-0-37,2019-09-04T00:47:20.372332Z
29,car_used,4478,4,0.510822847249386,1,4478,6-0-38,2019-09-04T00:47:20.372351Z
32,radio_tv,5378,3,0.6324438819387208,1,5378,6-0-39,2019-09-04T00:47:20.372370Z
28,furniture,3355,4,0.64927215314182,1,3355,6-0-40,2019-09-04T00:47:20.372389Z
32,car_used,6250,4,0.41871438517422577,0,0,6-0-41,2019-09-04T00:47:20.372407Z
24,radio_tv,7173,4,0.616716465705472,1,7173,6-0-42,2019-09-04T00:47:20.372424Z
24,radio_tv,3091,2,0.7478945761607376,1,3091,6-0-43,2019-09-04T00:47:20.372443Z
41,retraining,5657,5,0.16883877568289848,0,0,6-0-44,2019-09-04T00:47:20.372461Z
23,car_used,7744,3,0.30799690996066553,0,0,6-0-45,2019-09-04T00:47:20.372479Z
39,repairs,6418,5,0.4100439807849766,0,0,6-0-46,2019-09-04T00:47:20.372499Z
21,repairs,2219,3,0.814189027235528,1,2219,6-0-47,2019-09-04T00:47:20.372518Z
30,appliances,6205,5,0.28212579394260706,0,0,6-0-48,2019-09-04T00:47:20.372536Z
23,repairs,5082,2,0.6009836960383661,1,5082,6-0-49,2019-09-04T00:47:20.372555Z
4,car_used,250,1,0.9682067345403486,1,250,6-0-50,2019-09-04T00:47:20.372573Z
11,car_new,250,2,0.9104174083616743,1,250,6-0-51,2019-09-04T00:47:20.372591Z
18,car_new,452,2,0.9060768529742388,1,452,6-0-52,2019-09-04T00:47:20.372608Z
32,appliances,6886,4,0.3600605293036853,0,0,6-0-53,2019-09-04T00:47:20.372626Z
20,car_new,2499,3,0.7609109973439555,1,2499,6-0-54,2019-09-04T00:47:20.372643Z
24,education,2874,4,0.724513768398932,1,2874,6-0-55,2019-09-04T00:47:20.372662Z
29,car_used,3733,4,0.6226532753799324,1,3733,6-0-56,2019-09-04T00:47:20.372680Z
17,car_used,3002,3,0.811112280811784,1,3002,6-0-57,2019-09-04T00:47:20.372697Z
30,appliances,7984,5,0.07754643939850696,0,0,6-0-58,2019-09-04T00:47:20.372715Z
11,vacation,598,2,0.920016496056437,1,598,6-0-59,2019-09-04T00:47:20.372734Z
11,furniture,250,3,0.786679644917151,1,250,6-0-60,2019-09-04T00:47:20.372754Z
14,car_used,3601,3,0.9148506533795627,1,3601,6-0-61,2019-09-04T00:47:20.372773Z
43,education,6878,4,0.07251613327258331,0,0,6-0-62,2019-09-04T00:47:20.372799Z
27,radio_tv,3279,2,0.6945741186452898,1,3279,6-0-63,2019-09-04T00:47:20.372818Z
12,vacation,250,2,0.9842413066763195,1,250,6-0-64,2019-09-04T00:47:20.372836Z
4,car_new,250,1,0.9832589339292408,1,250,6-0-65,2019-09-04T00:47:20.372853Z
15,furniture,3481,2,0.7529666940541572,1,3481,6-0-66,2019-09-04T00:47:20.372870Z
10,car_new,250,2,0.8887602751095514,1,250,6-0-67,2019-09-04T00:47:20.372887Z
26,radio_tv,3346,4,0.6338867304297138,1,3346,6-0-68,2019-09-04T00:47:20.372904Z
24,car_used,6415,3,0.6309055181527435,1,6415,6-0-69,2019-09-04T00:47:20.372920Z
4,car_new,4488,2,0.8615236482349324,1,4488,6-0-70,2019-09-04T00:47:20.372939Z
35,business,3740,3,0.6804938487771128,1,3740,6-0-71,2019-09-04T00:47:20.372956Z
40,appliances,1451,2,0.8967287117177168,1,1451,6-0-72,2019-09-04T00:47:20.372974Z
7,car_used,250,1,0.9341660690778711,1,250,6-0-73,2019-09-04T00:47:20.372993Z
18,car_new,250,2,0.8168327482645743,1,250,6-0-74,2019-09-04T00:47:20.373010Z
30,furniture,8404,4,0.18251010163688836,0,0,6-0-75,2019-09-04T00:47:20.373028Z
30,furniture,5776,3,0.22195532972894383,0,0,6-0-76,2019-09-04T00:47:20.373045Z
40,repairs,10920,6,0.11664009099497541,0,0,6-0-77,2019-09-04T00:47:20.373061Z
35,appliances,6370,4,0.3921006391116921,0,0,6-0-78,2019-09-04T00:47:20.373077Z
27,retraining,5685,4,0.7407667513101612,1,5685,6-0-79,2019-09-04T00:47:20.373094Z
15,car_new,422,2,0.7487130219964179,1,422,6-0-80,2019-09-04T00:47:20.373112Z
32,car_used,1553,4,0.7246468823190619,1,1553,6-0-81,2019-09-04T00:47:20.373128Z
42,other,6096,4,0.3169940109875446,0,0,6-0-82,2019-09-04T00:47:20.373146Z
32,appliances,3281,2,0.7046899238881421,1,3281,6-0-83,2019-09-04T00:47:20.373164Z
34,furniture,7820,5,0.16836554179266797,0,0,6-0-84,2019-09-04T00:47:20.373181Z
10,car_used,4046,3,0.7704649356603329,1,4046,6-0-85,2019-09-04T00:47:20.373197Z
35,business,3740,3,0.6804938487771128,1,3740,6-0-86,2019-09-04T00:47:20.373215Z
26,furniture,5092,3,0.3735562288544223,0,0,6-0-87,2019-09-04T00:47:20.373231Z
6,car_new,250,1,0.968117218936127,1,250,6-0-88,2019-09-04T00:47:20.373247Z
13,car_new,2574,3,0.9281587488858568,1,2574,6-0-89,2019-09-04T00:47:20.373264Z
14,car_used,917,2,0.9699542399569123,1,917,6-0-90,2019-09-04T00:47:20.373282Z
11,car_used,3190,3,0.8186165930587308,1,3190,6-0-91,2019-09-04T00:47:20.373300Z
42,repairs,6617,5,0.07251613327258331,0,0,6-0-92,2019-09-04T00:47:20.373318Z
22,furniture,1779,3,0.6429614796667896,1,1779,6-0-93,2019-09-04T00:47:20.373336Z
4,car_new,250,1,0.9753229544905558,1,250,6-0-94,2019-09-04T00:47:20.373353Z
23,radio_tv,2420,3,0.5144759101100164,1,2420,6-0-95,2019-09-04T00:47:20.373370Z
42,appliances,7240,5,0.06982239654222237,0,0,6-0-96,2019-09-04T00:47:20.373389Z
31,furniture,2481,3,0.5835546521566148,1,2481,6-0-97,2019-09-04T00:47:20.373406Z
13,car_new,2436,2,0.9241568235666235,1,2436,6-0-98,2019-09-04T00:47:20.373423Z
13,furniture,3291,1,0.9627934706921802,1,3291,6-0-99,2019-09-04T00:47:20.373449Z
12,car_used,916,2,0.9286446163975025,1,916,6-0-100,2019-09-04T00:47:20.373467Z
27,car_used,6906,4,0.5311197914692333,1,6906,6-0-101,2019-09-04T00:47:20.373485Z
29,appliances,7437,5,0.300723693269926,0,0,6-0-102,2019-09-04T00:47:20.373503Z
13,furniture,815,2,0.9784102040523232,1,815,6-0-103,2019-09-04T00:47:20.373520Z
38,appliances,3176,4,0.13330203940180738,0,0,6-0-104,2019-09-04T00:47:20.373537Z
17,furniture,1034,2,0.6926375093774235,1,1034,6-0-105,2019-09-04T00:47:20.373555Z
11,furniture,1546,3,0.7706280384310932,1,1546,6-0-106,2019-09-04T00:47:20.373572Z
20,car_new,4767,2,0.6774169923052681,1,4767,6-0-107,2019-09-04T00:47:20.373591Z
20,retraining,4683,2,0.7333220328836919,1,4683,6-0-108,2019-09-04T00:47:20.373610Z
37,education,5120,3,0.6505804466479067,1,5120,6-0-109,2019-09-04T00:47:20.373628Z
14,car_new,3939,3,0.759181039701224,1,3939,6-0-110,2019-09-04T00:47:20.373645Z
8,car_new,250,2,0.8959285751444741,1,250,6-0-111,2019-09-04T00:47:20.373664Z
13,car_used,1820,2,0.8940470436834383,1,1820,6-0-112,2019-09-04T00:47:20.373682Z
19,car_new,250,2,0.8938451389517319,1,250,6-0-113,2019-09-04T00:47:20.373699Z
24,furniture,4031,3,0.7709223611107795,1,4031,6-0-114,2019-09-04T00:47:20.373718Z
20,radio_tv,3424,2,0.771352678119954,1,3424,6-0-115,2019-09-04T00:47:20.373735Z
61,education,6293,5,0.25159876105897083,0,0,6-0-116,2019-09-04T00:47:20.373752Z
22,retraining,2145,3,0.7541474337822113,1,2145,6-0-117,2019-09-04T00:47:20.373770Z
16,car_new,742,1,0.9084322901931845,1,742,6-0-118,2019-09-04T00:47:20.373788Z
25,car_used,4803,4,0.3647368079088415,0,0,6-0-119,2019-09-04T00:47:20.373804Z
44,radio_tv,7689,5,0.17384420825695052,0,0,6-1-120,2019-09-04T01:47:20.373821Z
9,furniture,1977,3,0.7686794721094773,1,1977,6-1-121,2019-09-04T01:47:20.373839Z
20,retraining,2354,3,0.8756983983250041,1,2354,6-1-122,2019-09-04T01:47:20.373856Z
12,furniture,373,1,0.8854393759256457,1,373,6-1-123,2019-09-04T01:47:20.373873Z
15,car_new,1733,2,0.9472467791262611,1,1733,6-1-124,2019-09-04T01:47:20.373890Z
28,radio_tv,7546,4,0.3948724462164854,0,0,6-1-125,2019-09-04T01:47:20.373907Z
30,repairs,7908,3,0.14957662351202708,0,0,6-1-126,2019-09-04T01:47:20.373924Z
11,car_new,5628,2,0.7898991362743985,1,5628,6-1-127,2019-09-04T01:47:20.373942Z
39,other,6559,4,0.33429096901786715,0,0,6-1-128,2019-09-04T01:47:20.373961Z
34,furniture,2196,3,0.5274488743852719,1,2196,6-1-129,2019-09-04T01:47:20.373978Z
34,repairs,2403,4,0.3965893188788865,0,0,6-1-130,2019-09-04T01:47:20.373996Z
