campaign,age,age_youngest_child,branch,debt_equity,gender,bad_payment,gold_card,pension_plan,household_debt_to_equity_ratio,income,marital,members_in_household,months_current_account,months_customer,call_center_contacts,loan_accounts,number_products,number_transactions,non_worker_percentage,white_collar_percentage,rfm_score
2.000,19.0,0.0,Ravensville,19.0,M,0.000,0.000,0.000,64.0,13362.0,S,2.0,-4.0,0.0,1.0,1.0,1.0,0.0,9.0,26.0,0.0
2.000,44.0,12.0,Catburg,44.0,M,0.000,0.000,0.000,65.0,13453.0,S,2.0,17.0,24.0,0.0,0.0,0.0,0.0,14.0,19.0,0.0
2.000,45.0,12.0,Ravensville,45.0,F,0.000,0.000,0.000,65.0,13453.0,U,2.0,33.0,36.0,0.0,4.0,2.0,1.0,14.0,19.0,7.602
2.000,43.0,12.0,Catburg,43.0,F,0.000,0.000,0.000,65.0,13453.0,U,2.0,34.0,36.0,0.0,0.0,3.0,2.0,14.0,19.0,10.143
2.000,42.0,11.0,Kingsville,42.0,F,0.000,0.000,0.000,65.0,13453.0,M,2.0,22.0,24.0,0.0,0.0,0.0,0.0,14.0,19.0,0.0
2.000,39.0,7.0,Princeton,39.0,F,0.000,0.000,0.000,65.0,13453.0,S,2.0,26.0,36.0,0.0,0.0,0.0,3.0,14.0,19.0,9.854
2.000,23.0,0.0,Princeton,23.0,F,0.000,0.000,0.000,65.0,13453.0,S,2.0,30.0,36.0,0.0,1.0,0.0,0.0,14.0,19.0,0.0
3.000,23.0,0.0,Princeton,23.0,F,0.000,0.000,0.000,65.0,13453.0,S,2.0,30.0,36.0,0.0,1.0,0.0,0.0,14.0,19.0,0.0
2.000,24.0,0.0,Foxton,24.0,M,0.000,0.000,0.000,65.0,13453.0,S,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,14.0,19.0,0.0
3.000,35.0,8.0,Queensbury,35.0,M,0.000,0.000,0.000,65.0,13453.0,M,2.0,22.0,24.0,0.0,1.0,0.0,0.0,14.0,19.0,0.0
2.000,35.0,8.0,Queensbury,35.0,M,0.000,0.000,0.000,65.0,13453.0,M,2.0,22.0,24.0,0.0,1.0,0.0,0.0,14.0,19.0,0.0
2.000,43.0,12.0,Foxton,43.0,M,0.000,0.000,0.000,47.0,14124.0,U,3.0,40.0,48.0,3.0,1.0,0.0,0.0,16.0,35.0,0.0
