Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,RelevantEducationLevel,JobLevel,JobRole,MaritalStatus,NumCompaniesWorked,OverTime,InterviewScore,ResumeScore,RequestedBenefits,TotalWorkingYears,PreferredSkills,YearsAtCurrentCompany,RelevantExperience,JobType,SalaryExpectation,Ethnicity,Gender,HIRED
33,Travel_Frequently,Research & Development,3,Master,Life Sciences,High,Entry Level,Research Scientist,Married,1,Yes,High,High,No,8,High,8,7,full_time,Low,non-minority,Female,YES
32,Travel_Frequently,Research & Development,2,College,Life Sciences,High,Entry Level,Laboratory Technician,Single,0,No,Outstanding,High,No,8,Medium,7,7,contract,Average,non-minority,Male,YES
35,Travel_Rarely,Research & Development,16,Bachelor,Medical,Very High,Entry Level,Laboratory Technician,Married,0,No,Average,High,Yes,6,Medium,5,4,full_time,Average,non-minority,Male,YES
29,Travel_Rarely,Research & Development,21,Master,Life Sciences,Very High,Experienced,Manufacturing Director,Divorced,1,No,Low,High,Yes,10,Low,10,9,full_time,Low,non-minority,Female,YES
34,Travel_Rarely,Research & Development,7,Master,Life Sciences,High,Experienced,Research Director,Single,0,No,Average,High,No,13,High,12,6,full_time,Low,minority,Female,YES
53,Travel_Rarely,Research & Development,5,Bachelor,Other,High,Experienced,Manager,Divorced,4,No,High,Outstanding,Yes,26,High,14,13,contract,Low,non-minority,Female,YES
42,Travel_Rarely,Sales,8,Master,Marketing,High,Intermediate,Sales Executive,Married,0,No,Average,Outstanding,Yes,10,Medium,9,7,contract,Low,minority,Male,YES
30,Travel_Rarely,Research & Development,9,College,Medical,Medium,Entry Level,Laboratory Technician,Single,1,No,High,Low,No,10,Medium,10,0,full_time,Average,non-minority,Male,YES
43,Travel_Rarely,Research & Development,2,College,Medical,Very High,Entry Level,Research Scientist,Divorced,1,No,High,Outstanding,No,6,High,5,3,full_time,Average,non-minority,Female,YES
27,Travel_Frequently,Sales,8,Bachelor,Life Sciences,High,Experienced,Sales Executive,Single,1,No,High,Outstanding,No,9,Low,9,8,full_time,Average,non-minority,Male,YES
30,Travel_Frequently,Research & Development,1,College,Medical,High,Intermediate,Laboratory Technician,Single,1,No,Outstanding,Outstanding,No,12,Medium,12,8,full_time,High,non-minority,Female,YES
37,Travel_Rarely,Research & Development,19,College,Life Sciences,High,Entry Level,Research Scientist,Married,4,No,Average,Low,No,8,Low,1,0,contract,High,non-minority,Male,YES
46,Travel_Frequently,Sales,5,Master,Marketing,High,Intermediate,Sales Executive,Single,4,Yes,Outstanding,High,No,14,High,9,6,full_time,High,minority,Male,YES
33,Travel_Frequently,Research & Development,1,College,Life Sciences,High,Experienced,Research Director,Single,1,Yes,Outstanding,High,No,15,Low,15,14,contract,Average,minority,Female,YES
50,Travel_Rarely,Research & Development,7,College,Medical,Medium,Experienced,Research Director,Divorced,5,Yes,High,Outstanding,Yes,29,Medium,27,3,contract,Average,non-minority,Female,YES
36,Travel_Frequently,Research & Development,11,Bachelor,Life Sciences,Medium,Intermediate,Manufacturing Director,Single,1,No,Average,High,No,6,High,6,5,contract,Average,non-minority,Male,YES
59,Travel_Frequently,Sales,1,Below College,Life Sciences,Medium,Intermediate,Sales Executive,Single,7,No,High,Outstanding,No,20,Medium,4,3,contract,Low,non-minority,Female,YES
32,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,High,Intermediate,Research Scientist,Married,1,No,Average,Average,No,10,High,10,4,full_time,High,non-minority,Male,YES
31,Travel_Rarely,Research & Development,8,Master,Life Sciences,High,Intermediate,Manufacturing Director,Single,1,No,Outstanding,Outstanding,No,11,Medium,11,7,full_time,High,non-minority,Female,YES
46,Travel_Rarely,Human Resources,5,College,Medical,High,Intermediate,Human Resources,Divorced,8,Yes,Average,Outstanding,Yes,16,Medium,4,2,full_time,High,non-minority,Male,YES
30,Travel_Rarely,Research & Development,1,Below College,Life Sciences,Medium,Intermediate,Laboratory Technician,Married,1,Yes,Outstanding,High,No,10,Low,10,8,full_time,Average,non-minority,Male,YES
38,Non-Travel,Research & Development,6,Bachelor,Medical,Low,Intermediate,Research Scientist,Divorced,7,Yes,Outstanding,Outstanding,Yes,17,High,13,11,full_time,Average,non-minority,Female,YES
34,Travel_Rarely,Research & Development,1,College,Medical,High,Intermediate,Manufacturing Director,Married,1,No,Average,High,No,5,Medium,5,2,full_time,Average,non-minority,Male,YES
56,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,Low,Experienced,Manufacturing Director,Single,4,No,Outstanding,Low,No,37,High,6,4,full_time,Low,non-minority,Male,YES
30,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,Medium,Intermediate,Healthcare Representative,Married,1,No,Outstanding,Low,Yes,11,High,11,10,full_time,High,minority,Male,YES
46,Travel_Rarely,Sales,9,College,Medical,Medium,Experienced,Sales Executive,Single,1,No,Outstanding,Outstanding,No,9,High,9,8,full_time,Average,minority,Male,YES
51,Travel_Rarely,Sales,21,Master,Marketing,High,Intermediate,Sales Executive,Single,0,Yes,Outstanding,Outstanding,No,11,Medium,10,7,full_time,High,non-minority,Male,YES
